ROI,Weights,Atlas,Task
7Networks_RH_SomMot_35,-0.010963836646701317,schaefer,rest
7Networks_RH_SomMot_36,0.006228798923463172,schaefer,rest
7Networks_RH_SomMot_37,-0.00215089503508283,schaefer,rest
7Networks_RH_SomMot_38,-0.0006679970735945462,schaefer,rest
7Networks_RH_SomMot_39,0.0027124982823892967,schaefer,rest
7Networks_RH_SomMot_40,-0.004818136849272429,schaefer,rest
7Networks_RH_DorsAttn_Post_1,-0.0009235038691809205,schaefer,rest
7Networks_RH_DorsAttn_Post_2,-0.007212109156904162,schaefer,rest
7Networks_RH_DorsAttn_Post_3,0.0010305617460753418,schaefer,rest
7Networks_RH_DorsAttn_Post_4,-0.019724937634811708,schaefer,rest
7Networks_RH_DorsAttn_Post_5,-0.0033842513967566328,schaefer,rest
7Networks_RH_DorsAttn_Post_6,0.0002064486963807703,schaefer,rest
7Networks_RH_DorsAttn_Post_7,-0.04056285683605961,schaefer,rest
7Networks_RH_DorsAttn_Post_8,-0.05519746013473868,schaefer,rest
7Networks_RH_DorsAttn_Post_9,-0.010373480318982312,schaefer,rest
7Networks_RH_DorsAttn_Post_10,-0.02729525403065993,schaefer,rest
7Networks_RH_DorsAttn_Post_11,-0.006751196111020853,schaefer,rest
7Networks_RH_DorsAttn_Post_12,-0.030290214512679006,schaefer,rest
7Networks_RH_DorsAttn_Post_13,-0.020621755303034117,schaefer,rest
7Networks_RH_DorsAttn_Post_14,-0.002735306247411404,schaefer,rest
7Networks_RH_DorsAttn_Post_15,-0.004730603291532563,schaefer,rest
7Networks_RH_DorsAttn_Post_16,-0.012331824446307968,schaefer,rest
7Networks_RH_DorsAttn_Post_17,0.0021379459780507567,schaefer,rest
7Networks_RH_DorsAttn_Post_18,0.008169018776432991,schaefer,rest
7Networks_RH_DorsAttn_Post_19,-0.020575980066170018,schaefer,rest
7Networks_RH_DorsAttn_FEF_1,-0.05355681521758742,schaefer,rest
7Networks_RH_DorsAttn_FEF_2,-0.014331169299101169,schaefer,rest
7Networks_RH_DorsAttn_FEF_3,-0.053926028843492825,schaefer,rest
7Networks_RH_DorsAttn_PrCv_1,-0.008866096926330013,schaefer,rest
7Networks_RH_SalVentAttn_TempOccPar_1,-0.052676800780311187,schaefer,rest
7Networks_RH_SalVentAttn_TempOccPar_2,-0.028333727892148927,schaefer,rest
7Networks_RH_SalVentAttn_TempOccPar_3,-0.018307189132729468,schaefer,rest
7Networks_RH_SalVentAttn_TempOccPar_4,-0.02743674666850504,schaefer,rest
7Networks_RH_SalVentAttn_TempOccPar_5,-0.0022284374856826918,schaefer,rest
7Networks_RH_SalVentAttn_TempOccPar_6,0.0015382740763857977,schaefer,rest
7Networks_RH_SalVentAttn_TempOccPar_7,-0.009914299026431228,schaefer,rest
7Networks_RH_SalVentAttn_PrC_1,-0.010221054189336417,schaefer,rest
7Networks_RH_SalVentAttn_FrOperIns_1,-0.013757935719379185,schaefer,rest
7Networks_RH_SalVentAttn_FrOperIns_2,-0.019199886245071233,schaefer,rest
7Networks_RH_SalVentAttn_FrOperIns_3,-0.00725667640274305,schaefer,rest
7Networks_RH_SalVentAttn_FrOperIns_4,-0.018386096488666494,schaefer,rest
7Networks_RH_SalVentAttn_FrOperIns_5,-0.033324877182118795,schaefer,rest
7Networks_RH_SalVentAttn_FrOperIns_6,-0.003474989102733455,schaefer,rest
7Networks_RH_SalVentAttn_FrOperIns_7,0.007502539104496119,schaefer,rest
7Networks_RH_SalVentAttn_FrOperIns_8,-0.0023815240536112954,schaefer,rest
7Networks_RH_SalVentAttn_PFCl_1,-0.021552002696069886,schaefer,rest
7Networks_RH_SalVentAttn_Med_1,-0.028038231767684555,schaefer,rest
7Networks_RH_SalVentAttn_Med_2,-0.01652773933764811,schaefer,rest
7Networks_RH_SalVentAttn_Med_3,-0.055864081047173816,schaefer,rest
