Subject,Task,Network,Value
sub-11,fe,DorsalAttention,0.011111225280320505
sub-11,fe,VentralAttention,-0.06968907050520767
sub-11,fe,Limbic,-2.604972031069099e-07
sub-11,fe,Frontoparietal,-0.07508498271797
sub-11,fe,Default,-0.04335557245047507
sub-12,fe,Visual,0.040536199443714865
sub-12,fe,Somatomotor,-0.004682894175098622
sub-12,fe,DorsalAttention,-0.019248827617799048
sub-12,fe,VentralAttention,-0.023002341199760603
sub-12,fe,Limbic,3.1311237881500253e-07
sub-12,fe,Frontoparietal,-0.07449647658239561
sub-12,fe,Default,-0.015394868552840316
sub-13,fe,Visual,0.017356057218903213
sub-13,fe,Somatomotor,-0.015211293628593633
sub-13,fe,DorsalAttention,-0.0013921774760949056
sub-13,fe,VentralAttention,-0.02627412303078777
sub-13,fe,Limbic,2.564568461374744e-06
sub-13,fe,Frontoparietal,-0.000561565992251519
sub-13,fe,Default,-0.05420435417992822
sub-14,fe,Visual,0.0066754282840369335
sub-14,fe,Somatomotor,-0.01210394640641663
sub-14,fe,DorsalAttention,-0.01966910101678811
sub-14,fe,VentralAttention,-0.01777297202727583
sub-14,fe,Limbic,-3.2958343350317616e-06
sub-14,fe,Frontoparietal,0.006711970800278014
sub-14,fe,Default,-0.00392375329713432
sub-15,fe,Visual,-0.03258534778868623
sub-15,fe,Somatomotor,-0.0327981057178313
sub-15,fe,DorsalAttention,0.01240749185580676
sub-15,fe,VentralAttention,0.0037131228317614853
sub-15,fe,Limbic,-0.0001429756291279934
sub-15,fe,Frontoparietal,0.0044156722443625404
sub-15,fe,Default,0.033843256386168516
sub-16,fe,Visual,0.0021151683397189155
sub-16,fe,Somatomotor,0.0811188466365442
sub-16,fe,DorsalAttention,0.019224169560564407
sub-16,fe,VentralAttention,0.06285971684243401
sub-16,fe,Limbic,0.03255361745941033
sub-16,fe,Frontoparietal,0.05777825258845367
sub-16,fe,Default,0.035255619447419194
sub-17,fe,Visual,0.01723299723701776
sub-17,fe,Somatomotor,0.018289999253680318
sub-17,fe,DorsalAttention,-0.00955787470057648
sub-17,fe,VentralAttention,-0.014117760213197912
sub-17,fe,Limbic,9.840488502959173e-07
sub-17,fe,Frontoparietal,-0.012217571833598454
sub-17,fe,Default,0.019684429805126902
sub-18,fe,Visual,-0.012851152162439117
sub-18,fe,Somatomotor,-0.06004945834490485
sub-18,fe,DorsalAttention,-0.014844953992130231
sub-18,fe,VentralAttention,0.01584142993158396
sub-18,fe,Limbic,-1.0436957935456065e-06
sub-18,fe,Frontoparietal,0.008482656955070729
sub-18,fe,Default,0.034693956945046484
sub-19,fe,Visual,-0.09748033363432039
sub-19,fe,Somatomotor,0.01644793399831918
sub-19,fe,DorsalAttention,0.05832039750664946
sub-19,fe,VentralAttention,0.0273997938104028
sub-19,fe,Limbic,-1.0326711758645368e-09
sub-19,fe,Frontoparietal,0.05105766001760767
sub-19,fe,Default,0.05860619537679609
sub-20,fe,Visual,-0.06282654628006486
sub-20,fe,Somatomotor,0.028864041945851748
sub-20,fe,DorsalAttention,0.04904025644833706
sub-20,fe,VentralAttention,0.011473181161066182
sub-20,fe,Limbic,-6.490302899394436e-09
sub-20,fe,Frontoparietal,0.017637651263373983
sub-20,fe,Default,0.04024269364049312
sub-21,fe,Visual,-0.015861844517463513
sub-21,fe,Somatomotor,-0.03058584128115369
sub-21,fe,DorsalAttention,-0.007583773179904977
sub-21,fe,VentralAttention,0.003126794839279004
sub-21,fe,Limbic,-5.857755120358026e-07
sub-21,fe,Frontoparietal,0.04060373893481184
sub-21,fe,Default,0.04714170940200277
sub-22,fe,Visual,0.006713027863558457
sub-22,fe,Somatomotor,-0.006952798936029202
sub-22,fe,DorsalAttention,0.06842511698038214
sub-22,fe,VentralAttention,-0.017224164931404405
sub-22,fe,Limbic,-0.00028525489307477047
sub-22,fe,Frontoparietal,-0.06737714967008925
sub-22,fe,Default,-0.05537837912020415
sub-23,fe,Visual,0.21140188665050408
sub-23,fe,Somatomotor,0.017054357687647945
sub-23,fe,DorsalAttention,-0.051058019169945394
sub-23,fe,VentralAttention,-0.11935913920580299
sub-23,fe,Limbic,8.03919579807775e-05
sub-23,fe,Frontoparietal,-0.10942390251941017
sub-23,fe,Default,-0.09752940711800194
sub-24,fe,Visual,-0.04058293632584295
sub-24,fe,Somatomotor,-0.01883037990822202
sub-24,fe,DorsalAttention,-0.05164546759479119
sub-24,fe,VentralAttention,-0.0713871032494499
sub-24,fe,Limbic,0.04226691136343666
sub-24,fe,Frontoparietal,-0.015724330040709812
sub-24,fe,Default,0.0005170338053886789
sub-25,fe,Visual,0.1507501389637376
sub-25,fe,Somatomotor,0.10838452636009385
sub-25,fe,DorsalAttention,-0.010975179741057856
sub-25,fe,VentralAttention,0.05687460031211674
sub-25,fe,Limbic,-0.0027285385640676263
sub-25,fe,Frontoparietal,-0.11786849196425563
sub-25,fe,Default,-0.06917271316343346
sub-26,fe,Visual,-0.018511366953487762
sub-26,fe,Somatomotor,-0.0030415360194853383
sub-26,fe,DorsalAttention,0.016777857056910615
sub-26,fe,VentralAttention,-0.08331734328860121
sub-26,fe,Limbic,0.005221293000144281
sub-26,fe,Frontoparietal,-0.014711499263610867
sub-26,fe,Default,0.03363859381196653
sub-27,fe,Visual,-0.11659244056445416
sub-27,fe,Somatomotor,0.07413657080928361
sub-27,fe,DorsalAttention,0.0071190418987887765
sub-27,fe,VentralAttention,0.1612120192580541
