Subject,Task,Network,Value
sub-13,fe,Somatomotor,0.11820769004735965
sub-13,fe,DorsalAttention,0.12167221837089795
sub-13,fe,VentralAttention,0.140173255086192
sub-13,fe,Limbic,2.564568461374744e-06
sub-13,fe,Frontoparietal,0.09611130144475406
sub-13,fe,Default,0.0838587479201646
sub-14,fe,Visual,0.11593396137783449
sub-14,fe,Somatomotor,0.16267209221364654
sub-14,fe,DorsalAttention,0.14201433596725072
sub-14,fe,VentralAttention,0.1579999858430111
sub-14,fe,Limbic,3.2958343350317616e-06
sub-14,fe,Frontoparietal,0.09656897864629692
sub-14,fe,Default,0.0845078182871093
sub-15,fe,Visual,0.16101787065144474
sub-15,fe,Somatomotor,0.15661652614720017
sub-15,fe,DorsalAttention,0.14109396277726088
sub-15,fe,VentralAttention,0.11860804828473896
sub-15,fe,Limbic,9.983814641517298e-05
sub-15,fe,Frontoparietal,0.07588885343422677
sub-15,fe,Default,0.0864808904266911
sub-16,fe,Visual,0.2611833238726547
sub-16,fe,Somatomotor,0.19294896236837403
sub-16,fe,DorsalAttention,0.21931531356053155
sub-16,fe,VentralAttention,0.2563727134804131
sub-16,fe,Limbic,0.1352551285239402
sub-16,fe,Frontoparietal,0.21379164333974363
sub-16,fe,Default,0.2125974814659239
sub-17,fe,Visual,0.11342943493344977
sub-17,fe,Somatomotor,0.13643154074226088
sub-17,fe,DorsalAttention,0.11187750892579088
sub-17,fe,VentralAttention,0.14810266671887132
sub-17,fe,Limbic,9.840488502959173e-07
sub-17,fe,Frontoparietal,0.082695690419984
sub-17,fe,Default,0.09242167639454399
sub-18,fe,Visual,0.11822027806331803
sub-18,fe,Somatomotor,0.13229752290870261
sub-18,fe,DorsalAttention,0.12238366975145606
sub-18,fe,VentralAttention,0.1391122071828556
sub-18,fe,Limbic,1.0436957935456065e-06
sub-18,fe,Frontoparietal,0.0829638192977088
sub-18,fe,Default,0.08233762589151929
sub-19,fe,Visual,0.1888011349511544
sub-19,fe,Somatomotor,0.17153357475891243
sub-19,fe,DorsalAttention,0.16597164058376024
sub-19,fe,VentralAttention,0.1262256449159896
sub-19,fe,Limbic,1.0326711758645368e-09
sub-19,fe,Frontoparietal,0.09720218338229886
sub-19,fe,Default,0.09719636170276848
sub-20,fe,Visual,0.14434480548883974
sub-20,fe,Somatomotor,0.1212806866070724
sub-20,fe,DorsalAttention,0.12062253270087002
sub-20,fe,VentralAttention,0.07924088467976553
sub-20,fe,Limbic,6.4903028993944355e-09
sub-20,fe,Frontoparietal,0.056152568861394705
sub-20,fe,Default,0.06301987295391359
sub-21,fe,Visual,0.23939122306537217
sub-21,fe,Somatomotor,0.1740840711427868
sub-21,fe,DorsalAttention,0.17880192794359528
sub-21,fe,VentralAttention,0.18604694125834148
sub-21,fe,Limbic,5.857755120358027e-07
sub-21,fe,Frontoparietal,0.12140024293485438
sub-21,fe,Default,0.09358786510521463
sub-22,fe,Visual,0.14053620713098164
sub-22,fe,Somatomotor,0.2397772179640251
sub-22,fe,DorsalAttention,0.15177365141762275
sub-22,fe,VentralAttention,0.2110770985055282
sub-22,fe,Limbic,0.00033170771207326427
sub-22,fe,Frontoparietal,0.12239256816264543
sub-22,fe,Default,0.10545877747463137
sub-23,fe,Visual,0.17318337062209427
sub-23,fe,Somatomotor,0.1356683552278674
sub-23,fe,DorsalAttention,0.1220229495816569
sub-23,fe,VentralAttention,0.18336092019026337
sub-23,fe,Limbic,8.066219073501943e-05
sub-23,fe,Frontoparietal,0.10944390637180504
sub-23,fe,Default,0.11503972149386395
sub-24,fe,Visual,0.1698924327435915
sub-24,fe,Somatomotor,0.1792920234698579
sub-24,fe,DorsalAttention,0.15750738791343882
sub-24,fe,VentralAttention,0.24258140056961214
sub-24,fe,Limbic,0.052346347802557494
sub-24,fe,Frontoparietal,0.18908341854809746
sub-24,fe,Default,0.17473063743680134
sub-25,fe,Visual,0.2511844777954205
sub-25,fe,Somatomotor,0.24557823573391496
sub-25,fe,DorsalAttention,0.23134524318803118
sub-25,fe,VentralAttention,0.28200298554802017
sub-25,fe,Limbic,0.10190308180818657
sub-25,fe,Frontoparietal,0.24947025396939365
sub-25,fe,Default,0.22475605737225046
sub-26,fe,Visual,0.1325039989838713
sub-26,fe,Somatomotor,0.136545754838963
sub-26,fe,DorsalAttention,0.11665718153369264
sub-26,fe,VentralAttention,0.1972263072560895
sub-26,fe,Limbic,0.009243855497953698
sub-26,fe,Frontoparietal,0.10121041873435918
sub-26,fe,Default,0.11714570264408719
sub-27,fe,Visual,0.1527483124870214
sub-27,fe,Somatomotor,0.11846614905158345
sub-27,fe,DorsalAttention,0.09799412017211337
sub-27,fe,VentralAttention,0.18260130994990603
sub-27,fe,Limbic,0.07591849920358934
sub-27,fe,Frontoparietal,0.08639359521453398
sub-27,fe,Default,0.128501443595252
sub-28,fe,Visual,0.19802144115634274
sub-28,fe,Somatomotor,0.15360673254146265
sub-28,fe,DorsalAttention,0.1558025731055324
sub-28,fe,VentralAttention,0.20743756604499514
sub-28,fe,Limbic,0.00010104623521057401
sub-28,fe,Frontoparietal,0.12149288534454827
sub-28,fe,Default,0.13724246181979133
sub-29,fe,Visual,0.17398983026687717
sub-29,fe,Somatomotor,0.14028850044094757
sub-29,fe,DorsalAttention,0.12484799769070862
sub-29,fe,VentralAttention,0.2147943956711978
sub-29,fe,Limbic,0.021741378599970013
sub-29,fe,Frontoparietal,0.13752375997660288
sub-29,fe,Default,0.14472149770818166
sub-30,fe,Visual,0.20486244999874428
sub-30,fe,Somatomotor,0.18315059574149178
sub-30,fe,DorsalAttention,0.18018978832846816
sub-30,fe,VentralAttention,0.26786879940734665
sub-30,fe,Limbic,0.03652356768980503
sub-30,fe,Frontoparietal,0.17242088480295797
sub-30,fe,Default,0.1812680752679428
sub-31,fe,Visual,0.16450984800978347
sub-31,fe,Somatomotor,0.1609440897049788
sub-31,fe,DorsalAttention,0.13151481127700831
sub-31,fe,VentralAttention,0.22468731195524816
sub-31,fe,Limbic,0.016848663671687945
sub-31,fe,Frontoparietal,0.10496832869575534
sub-31,fe,Default,0.1319404011617507
sub-32,fe,Visual,0.15739950623311877
sub-32,fe,Somatomotor,0.19225769243918783
